Duivendrecht  (2039,1195)  (2003,1209)  (2062,1231)  (2075,1164)  (2026,1245)  (2079,1199)  (2122,1145)  (2107,1199)  | overflowToLeft=false
Staatsliedenbuurt  (1645,480)  (1644,516)  (1681,468)  (1717,473)  (1623,461)  (1615,496)  | overflowToLeft=false
Schiphol zuid  (513,1564)  (477,1599)  (477,1563)  (548,1600)  (526,1528)  (549,1564)  (574,1528)  (441,1599)  (441,1563)  (585,1564)  (424,1527)  (621,1560)  (388,1554)  (352,1562)  (352,1526)  (342,1490)  (316,1551)  (314,1454)  (306,1515)  (733,1499)  (278,1479)  (748,1462)  (768,1426)  (804,1400)  (840,1363)  (876,1334)  (912,1307)  (948,1279)  (984,1257)  (984,1293)  (1020,1229)  (1020,1265)  | overflowToLeft=false
Baan 36 en 06  (564,1427)  (528,1462)  (528,1426)  (599,1463)  (564,1391)  (600,1391)  (600,1427)  (526,1390)  (492,1491)  (492,1455)  (635,1463)  (569,1355)  (605,1355)  (636,1391)  (636,1427)  (490,1419)  (639,1499)  (641,1350)  (456,1487)  (671,1463)  (672,1386)  (672,1422)  (454,1451)  (454,1415)  (675,1499)  (677,1317)  (708,1353)  (708,1389)  (708,1425)  (418,1467)  (418,1431)  (713,1305)  (408,1395)  (382,1465)  (749,1289)  (372,1429)  (764,1252)  (775,1216)  (785,1288)  | overflowToLeft=false
Ronde Hoep west  (1496,1918)  (1460,1951)  (1531,1954)  (1476,1882)  (1512,1882)  (1532,1918)  (1548,1866)  (1495,1987)  (1567,1954)  (1549,1990)  (1484,1846)  (1568,1902)  (1459,2006)  (1520,1830)  (1556,1830)  (1584,1866)  (1592,1822)  (1513,2023)  (1483,1810)  (1604,1902)  (1423,2031)  (1387,2033)  (1477,2042)  (1519,1794)  (1555,1794)  (1591,1786)  (1398,2069)  (1512,1758)  (1548,1758)  (1362,2085)  (1539,1722)  | overflowToLeft=false
Ouderkerk  (1726,1608)  (1690,1635)  (1761,1644)  (1762,1580)  (1654,1616)  (1797,1616)  (1798,1577)  | overflowToLeft=false
Ijburg  (2550,989)  (2514,961)  (2585,1025)  (2621,1044)  (2640,1080)  (2449,889)  (2657,1044)  (2523,926)  | overflowToLeft=false
Kleine meer  (3058,198)  | overflowToLeft=false
10  (2951,915)  (2915,942)  (2915,906)  (2951,879)  (2987,915)  (2905,870)  (2879,940)  (2941,843)  (2977,843)  (3023,915)  (2869,885)  (2869,849)  (3059,915)  (2833,856)  (3095,915)  | overflowToLeft=false
11  (2851,758)  (2815,793)  (2815,757)  (2886,794)  (2851,722)  (2887,722)  (2887,758)  (2813,721)  (2779,800)  (2779,764)  (2922,794)  (2923,713)  (2923,749)  (2777,728)  (2775,692)  (2743,773)  (2958,785)  (2959,713)  (2959,749)  | overflowToLeft=false
12  (3232,781)  (3196,816)  (3196,780)  (3267,817)  (3232,745)  (3268,745)  (3268,781)  (3194,744)  (3231,852)  (3195,852)  (3160,816)  (3160,780)  (3303,817)  (3303,853)  (3267,853)  (3159,853)  (3230,709)  (3266,709)  (3302,709)  (3304,745)  (3304,781)  (3158,744)  (3158,708)  (3194,708)  (3338,675)  (3231,888)  (3124,817)  (3124,781)  (3339,817)  (3339,853)  (3339,889)  (3303,889)  (3267,889)  (3123,879)  (3230,673)  (3266,673)  (3302,673)  (3340,711)  (3340,747)  (3122,745)  (3122,709)  (3122,673)  (3158,672)  (3194,672)  (3374,675)  (3088,843)  (3088,807)  (3375,783)  (3375,819)  (3375,855)  (3087,879)  | overflowToLeft=false
Diemerpark  (2444,981)  (2537,1088)  (2365,905)  (2476,1017)  (2505,1055)  (2415,949)  (2574,1117)  | overflowToLeft=false
Holendrecht  (2270,1709)  (2234,1744)  (2234,1708)  (2305,1745)  (2270,1673)  (2306,1673)  (2306,1709)  (2232,1672)  (2269,1780)  (2233,1780)  (2198,1744)  (2198,1708)  (2341,1745)  (2268,1637)  (2342,1666)  (2342,1702)  (2196,1672)  (2196,1636)  (2232,1636)  (2355,1781)  (2377,1738)  (2378,1653)  (2378,1689)  (2160,1663)  (2160,1627)  (2196,1600)  (2232,1600)  (2391,1774)  (2413,1725)  (2414,1655)  (2427,1761)  (2449,1691)  (2450,1647)  (2485,1693)  | overflowToLeft=false
13  (3589,785)  (3553,820)  (3553,784)  (3589,749)  (3625,749)  (3625,785)  (3551,748)  (3540,856)  (3517,820)  (3517,784)  (3661,717)  (3661,753)  (3661,789)  (3515,748)  (3504,869)  (3481,833)  (3481,797)  (3697,717)  (3697,753)  (3479,761)  (3479,725)  (3468,897)  (3733,719)  (3733,755)  (3769,719)  | overflowToLeft=false
14  (2915,619)  (2879,654)  (2879,618)  (2950,655)  (2915,583)  (2951,583)  (2951,619)  (2877,582)  (2843,680)  | overflowToLeft=false
15  (3094,538)  (3058,573)  (3058,537)  (3129,574)  (3094,502)  (3130,502)  (3130,538)  (3056,501)  (3093,609)  (3057,609)  (3022,573)  (3022,537)  (3165,574)  (3165,610)  (3129,610)  (3021,610)  (3092,466)  (3128,466)  (3020,501)  (3020,465)  (3056,465)  (3164,444)  (3201,550)  (3201,586)  (3201,622)  (3092,430)  (3128,430)  (2984,516)  (2984,480)  (3164,408)  (3237,555)  (3237,591)  (3237,627)  (3085,394)  (3121,394)  (2948,516)  (3273,555)  (3273,591)  (3273,627)  (2912,516)  | overflowToLeft=false
16  (3325,472)  (3289,507)  (3289,471)  (3360,508)  (3325,436)  (3361,436)  (3361,472)  (3287,435)  (3324,543)  (3253,516)  (3253,480)  (3396,508)  (3396,544)  (3360,544)  (3323,400)  (3359,400)  (3397,404)  (3397,440)  (3251,444)  (3251,408)  (3287,399)  (3224,372)  (3324,579)  (3217,512)  (3432,476)  (3432,512)  (3427,580)  (3391,580)  (3215,476)  (3215,440)  (3260,363)  (3296,363)  (3355,615)  (3319,615)  (3427,616)  (3391,616)  | overflowToLeft=false
17  (3640,578)  (3604,613)  (3604,577)  (3675,614)  (3640,542)  (3676,542)  (3676,578)  (3602,541)  (3639,649)  (3603,649)  (3568,613)  (3568,577)  (3711,614)  (3711,650)  (3675,650)  (3567,650)  (3638,506)  (3674,506)  (3710,506)  (3712,542)  (3712,578)  (3566,541)  (3566,505)  (3602,505)  (3746,472)  (3532,614)  (3532,578)  (3747,614)  (3747,650)  (3531,681)  (3638,470)  (3674,470)  (3710,470)  (3748,508)  (3748,544)  (3530,542)  (3530,506)  (3530,470)  (3566,469)  (3602,469)  (3782,450)  (3496,645)  (3496,609)  (3783,580)  (3783,616)  (3783,652)  (3495,681)  (3784,486)  (3784,522)  (3494,573)  (3494,537)  (3494,501)  (3494,465)  | overflowToLeft=false
18  (3404,221)  (3368,256)  (3368,220)  (3426,257)  (3412,185)  (3440,221)  (3448,177)  (3390,292)  (3354,292)  (3332,256)  (3426,293)  (3442,141)  (3478,141)  (3484,177)  (3318,306)  (3390,328)  (3354,328)  (3296,270)  (3514,111)  (3452,105)  (3520,147)  | overflowToLeft=false
19  (3588,307)  (3552,342)  (3552,306)  (3623,343)  (3588,271)  (3624,271)  (3624,307)  (3550,270)  (3587,378)  (3551,378)  (3516,342)  (3516,306)  (3650,379)  (3515,379)  (3586,235)  (3622,235)  (3514,270)  (3523,234)  (3614,414)  (3578,414)  (3480,343)  (3480,307)  (3479,409)  (3559,199)  (3595,199)  (3631,199)  (3590,163)  | overflowToLeft=false
Hakkelaarsbrug  (3239,1516)  (3203,1551)  (3203,1515)  (3274,1552)  (3239,1480)  (3275,1480)  (3275,1516)  (3201,1479)  (3238,1587)  (3202,1587)  (3167,1551)  (3167,1515)  (3310,1552)  (3310,1588)  (3274,1588)  (3237,1444)  (3273,1444)  (3309,1444)  (3311,1480)  (3311,1516)  (3165,1479)  (3165,1443)  (3201,1443)  (3238,1623)  (3131,1555)  (3131,1519)  (3346,1579)  (3346,1615)  (3310,1624)  (3274,1624)  (3237,1408)  (3273,1408)  (3129,1483)  (3129,1409)  (3165,1407)  (3201,1407)  (3361,1651)  (3095,1525)  (3325,1660)  (3289,1660)  (3237,1372)  (3130,1371)  (3166,1371)  (3361,1687)  (3325,1696)  (3202,1336)  (3127,1335)  (3163,1335)  (3397,1710)  | overflowToLeft=false
Zwanenburger Wei  (571,402)  (535,437)  (535,401)  (606,438)  (571,366)  (607,366)  (607,402)  (533,365)  (570,473)  (642,438)  (642,474)  (606,474)  (569,330)  (643,382)  (497,382)  (497,346)  (533,329)  (480,310)  (678,418)  (678,454)  (678,490)  (642,510)  (606,510)  (569,294)  (516,293)  (714,450)  (714,486)  (637,546)  (552,258)  (750,455)  | overflowToLeft=false
1  (3520,1449)  (3484,1463)  (3484,1427)  (3555,1485)  (3520,1413)  (3556,1426)  (3461,1391)  (3448,1461)  (3591,1462)  (3497,1377)  (3617,1498)  | overflowToLeft=false
de Sniep  (2474,1253)  (2438,1275)  (2438,1239)  (2509,1289)  (2474,1217)  (2510,1217)  (2510,1253)  (2423,1203)  (2473,1311)  (2402,1250)  (2545,1289)  (2545,1325)  (2509,1325)  (2459,1181)  (2546,1212)  (2546,1248)  (2387,1214)  (2387,1178)  (2473,1347)  (2581,1284)  (2581,1320)  (2581,1356)  (2545,1361)  (2509,1361)  (2362,1142)  (2351,1239)  (2351,1203)  (2597,1392)  (2617,1306)  (2617,1342)  (2561,1397)  (2525,1397)  (2489,1397)  (2366,1106)  (2315,1239)  (2315,1203)  (2534,1433)  (2498,1433)  (2279,1250)  (2279,1214)  | overflowToLeft=false
2  (3365,1362)  (3329,1359)  (3400,1398)  (3364,1398)  (3365,1326)  (3401,1326)  (3401,1362)  (3325,1323)  (3409,1434)  | overflowToLeft=false
3  (3293,1230)  (3257,1265)  (3257,1229)  (3328,1266)  (3293,1194)  (3329,1194)  (3329,1230)  (3255,1193)  (3247,1301)  (3221,1265)  (3221,1229)  (3364,1266)  (3365,1167)  (3365,1203)  (3219,1193)  (3185,1284)  (3185,1248)  (3400,1239)  (3401,1167)  (3401,1203)  (3183,1212)  (3183,1176)  | overflowToLeft=false
4  (3515,1244)  (3479,1279)  (3479,1243)  (3550,1280)  (3515,1208)  (3551,1208)  (3551,1244)  (3477,1207)  (3514,1315)  (3478,1315)  (3554,1316)  (3513,1172)  (3549,1172)  (3469,1171)  | overflowToLeft=false
5  (3370,1054)  (3334,1089)  (3334,1053)  (3405,1090)  (3370,1018)  (3406,1018)  (3406,1054)  (3332,1017)  (3369,1125)  (3333,1125)  (3298,1089)  (3298,1053)  (3441,1090)  (3441,1126)  (3405,1126)  (3297,1126)  (3368,982)  (3404,982)  (3440,982)  (3442,1018)  (3442,1054)  (3296,1017)  (3296,981)  (3332,981)  (3476,948)  (3262,1090)  (3262,1054)  (3477,1090)  (3477,1126)  (3261,1131)  (3368,946)  (3404,946)  (3440,946)  (3478,984)  (3478,1020)  (3260,1018)  (3260,982)  (3260,946)  (3296,945)  (3332,945)  (3512,933)  (3226,1095)  (3226,1059)  (3513,1056)  (3513,1092)  (3513,1128)  (3225,1132)  (3514,969)  (3514,1005)  (3224,1023)  (3224,987)  (3224,951)  | overflowToLeft=false
6  (3067,1116)  (3031,1151)  (3031,1115)  (3102,1152)  (3067,1080)  (3103,1080)  (3103,1116)  (3029,1079)  (3066,1187)  (3030,1187)  (2995,1151)  (3126,1188)  (2994,1188)  (3065,1044)  (3101,1044)  (3000,1043)  (3090,1223)  (3054,1223)  (3018,1224)  (3036,1008)  (3072,1008)  (3108,1008)  | overflowToLeft=false
Vrijschot  (264,1012)  (228,1047)  (228,1011)  (299,1048)  (264,976)  (300,976)  (300,1012)  (226,975)  (263,1083)  (192,1035)  (335,1048)  (335,1084)  (299,1084)  (331,940)  (336,976)  (336,1012)  (190,999)  (190,963)  (226,939)  (178,927)  (367,939)  (263,1119)  (371,1048)  (371,1084)  (371,1120)  (335,1120)  (299,1120)  (372,975)  (372,1011)  (154,987)  (214,903)  (250,903)  (142,951)  (142,915)  (178,891)  (141,879)  (407,1047)  (407,1083)  (407,1119)  (400,1156)  (364,1156)  (328,1156)  (292,1156)  (408,988)  (214,867)  (250,867)  (106,980)  (106,944)  (177,855)  (105,908)  (386,1192)  (350,1192)  (314,1192)  | overflowToLeft=false
7  (2910,1236)  (2874,1261)  (2874,1225)  (2938,1272)  (2910,1200)  (2946,1200)  (2946,1236)  (2862,1189)  (2838,1235)  (2898,1164)  (2934,1164)  (2982,1260)  (2839,1153)  (2806,1288)  (3018,1260)  (3054,1260)  (3066,1296)  (3090,1260)  (3126,1261)  | overflowToLeft=false
8  (2857,1057)  (2821,1092)  (2821,1056)  (2892,1093)  (2857,1021)  (2893,1021)  (2893,1057)  (2819,1020)  (2785,1091)  (2928,1093)  (2855,985)  (2891,985)  (2927,985)  (2929,1021)  (2929,1057)  (2783,1055)  (2783,1019)  (2819,984)  (2963,984)  (2749,1091)  (2964,1093)  (2747,1055)  | overflowToLeft=false
9  (2682,904)  (2646,939)  (2646,903)  (2717,940)  (2682,868)  (2718,868)  (2718,904)  (2644,867)  (2681,975)  (2645,975)  (2610,939)  (2610,903)  (2753,940)  (2727,976)  (2680,832)  (2716,832)  (2754,853)  (2754,889)  (2574,911)  (2789,925)  (2790,886)  | overflowToLeft=false
Lustoord  (1862,1357)  (1826,1392)  (1826,1356)  (1897,1393)  (1862,1321)  (1898,1321)  (1898,1357)  (1824,1320)  (1861,1428)  (1825,1428)  (1790,1392)  (1790,1356)  (1933,1393)  (1933,1429)  (1897,1429)  (1789,1429)  (1860,1285)  (1934,1318)  (1934,1354)  (1811,1284)  (1775,1253)  (1861,1464)  (1825,1464)  (1969,1390)  (1789,1465)  (1970,1320)  (1811,1248)  (1739,1239)  (1775,1217)  (2005,1356)  (1820,1501)  (1784,1501)  (2006,1319)  (1811,1212)  (1748,1507)  (1763,1181)  (1799,1176)  (1835,1176)  (1768,1140)  (1804,1140)  | overflowToLeft=false
Amstelpark  (1746,1074)  (1710,1109)  (1738,1038)  (1782,1049)  (1782,1085)  (1715,1145)  (1689,1181)  | overflowToLeft=false
20  (3752,318)  (3716,353)  (3716,317)  (3787,354)  (3752,282)  (3788,282)  (3788,318)  (3714,281)  (3751,389)  (3715,389)  (3804,390)  (3750,246)  (3786,246)  (3690,245)  (3726,210)  (3762,210)  (3798,210)  | overflowToLeft=false
21  (3713,61)  (3677,96)  (3677,60)  (3748,97)  (3713,25)  (3749,25)  (3749,61)  (3675,24)  (3712,132)  (3676,132)  (3641,96)  (3641,60)  (3784,97)  (3784,133)  (3748,133)  (3785,0)  (3785,36)  (3639,24)  (3605,104)  (3605,68)  (3603,32)  (3569,79)  (3567,43)  (3531,57)  (3495,36)  | overflowToLeft=false
22  (2499,776)  (2463,771)  (2534,812)  (2498,812)  (2526,740)  (2535,776)  (2462,813)  (2441,735)  (2562,729)  (2570,812)  (2571,765)  (2421,699)  (2598,723)  (2606,801)  (2607,759)  (2385,674)  | overflowToLeft=false
de Grachtengordel  (1750,706)  (1786,727)  (1736,670)  (1822,714)  (1745,633)  (1830,749)  | overflowToLeft=false
23  (2194,594)  (2158,605)  (2230,596)  (2140,569)  (2252,632)  (2264,668)  (2281,595)  (2104,582)  | overflowToLeft=false
24  (1865,472)  (1874,510)  (1898,543)  (1935,563)  (1868,436)  | overflowToLeft=false
25  (1827,332)  (1791,321)  (1862,368)  (1779,285)  (1815,285)  (1769,249)  | overflowToLeft=false
26  (1697,257)  (1623,238)  (1651,274)  (1735,248)  | overflowToLeft=false
Bedrijventerrein Sloterdijk  (1112,184)  (1076,219)  (1076,183)  (1147,220)  (1148,166)  (1170,126)  (1111,255)  (1075,255)  (1040,219)  (1040,183)  (1183,202)  (1183,238)  (1147,256)  (1039,256)  (1184,162)  (1130,106)  (1091,98)  (1201,274)  (1166,90)  (1202,90)  (1206,126)  (1004,220)  (1004,184)  (1219,198)  (1219,234)  (1220,162)  (1238,58)  (1242,94)  (1255,198)  (1256,130)  (1201,36)  (1237,22)  (1273,22)  (1274,58)  (1278,94)  (1164,16)  (1127,7)  (1291,166)  (1291,202)  (1292,130)  (1200,0)  | overflowToLeft=false
27  (1671,94)  (1708,126)  (1740,170)  (1628,69)  (1546,35)  (1591,54)  | overflowToLeft=false
Beukenhorst  (266,1299)  (230,1326)  (230,1290)  (301,1335)  (266,1263)  (302,1266)  (194,1339)  (337,1302)  (337,1338)  (301,1371)  (338,1258)  (158,1363)  (158,1327)  (122,1359)  | overflowToLeft=false
28  (113,2046)  (77,2081)  (77,2045)  (148,2082)  (113,2010)  (149,2010)  (149,2046)  (75,2009)  (112,2117)  (76,2117)  (41,2081)  (41,2045)  (179,2118)  (40,2118)  (111,1974)  (147,1974)  (39,2009)  (56,1973)  (5,2082)  (5,2046)  (4,2124)  (139,1938)  (175,1938)  (3,2010)  (50,1912)  | overflowToLeft=false
29  (303,1970)  (267,2005)  (267,1969)  (338,2006)  (303,1934)  (339,1934)  (339,1970)  (265,1933)  (302,2041)  (266,2041)  (231,2005)  (231,1969)  (230,2042)  (301,1898)  (337,1898)  (373,1898)  (375,1934)  (229,1933)  (298,2077)  (262,2078)  (226,2078)  (390,1862)  | overflowToLeft=false
Bijlmer centrum  (2163,1506)  (2127,1541)  (2127,1505)  (2198,1542)  (2163,1470)  (2199,1470)  (2199,1506)  (2178,1434)  (2165,1398)  (2066,1378)  (2102,1375)  (2138,1362)  (2056,1342)  (2092,1339)  (2055,1306)  (2091,1303)  | overflowToLeft=false
Mooie Nel  (278,0)  | overflowToLeft=false
de Burgwallen  (1839,686)  (1861,652)  (1898,644)  (1888,609)  | overflowToLeft=false
Adam-Rijn K. 3  (2629,1262)  | overflowToLeft=false
Adam-Rijn K. 2  (2485,1088)  | overflowToLeft=false
Bijlmermeer  (2313,1393)  (2277,1428)  (2277,1392)  (2348,1429)  (2313,1357)  (2349,1357)  (2349,1393)  (2275,1356)  (2312,1464)  (2276,1464)  (2241,1426)  (2384,1429)  (2384,1465)  (2348,1465)  (2311,1321)  (2347,1321)  (2383,1321)  (2385,1357)  (2385,1393)  (2239,1390)  (2239,1354)  (2237,1318)  (2279,1500)  (2420,1429)  (2344,1285)  (2421,1347)  (2421,1383)  | overflowToLeft=false
Adam-Rijn K. 5  (2581,2008)  | overflowToLeft=false
Adam-Rijn K. 4  (2639,1517)  | overflowToLeft=false
Uithoorn  (714,2090)  (678,2124)  (678,2088)  (714,2054)  (750,2054)  (750,2090)  (675,2052)  (642,2124)  (642,2088)  (711,2018)  (747,2018)  (783,2018)  (786,2054)  (786,2090)  (639,2052)  (639,2016)  (675,2016)  (819,1985)  (606,2124)  (606,2088)  (711,1982)  (747,1982)  (783,1982)  (822,2021)  (822,2057)  (822,2093)  (603,2052)  (603,2016)  (603,1980)  (639,1980)  (675,1980)  (570,2124)  (570,2088)  (711,1946)  (747,1946)  (858,2004)  (858,2040)  (858,2076)  (858,2112)  (567,2052)  (567,2016)  (670,1944)  (534,2124)  (534,2088)  (894,2032)  (894,2068)  (894,2104)  (531,2052)  (531,2016)  (498,2124)  (498,2088)  | overflowToLeft=false
Amsterdamse Bos zuid  (1085,1396)  (1049,1431)  (1049,1395)  (1120,1432)  (1085,1360)  (1121,1360)  (1121,1396)  (1047,1359)  (1084,1467)  (1137,1468)  (1083,1324)  (1157,1379)  (1033,1323)  (1096,1503)  (1060,1503)  | overflowToLeft=false
Uitdam  (3200,234)  (3164,269)  (3164,233)  (3229,270)  (3200,198)  (3236,198)  (3236,234)  (3162,197)  (3155,305)  (3128,248)  (3219,162)  (3255,162)  (3272,198)  (3126,212)  (3291,156)  (3221,126)  (3327,160)  | overflowToLeft=false
Over Diemen  (2740,1338)  (2704,1373)  (2704,1337)  (2775,1374)  (2740,1302)  (2776,1328)  (2702,1301)  (2739,1409)  (2811,1364)  (2811,1400)  (2775,1410)  (2675,1262)  (2837,1436)  (2841,1326)  (2847,1362)  (2847,1398)  (2639,1226)  (2720,1223)  (2675,1214)  (2756,1209)  (2873,1434)  (2874,1470)  (2792,1195)  (2883,1364)  (2711,1187)  (2663,1178)  (2747,1173)  (2909,1400)  (2910,1436)  (2910,1472)  (2699,1151)  (2938,1508)  (2735,1137)  (2946,1413)  (2946,1449)  (2974,1485)  (2974,1521)  (2982,1439)  | overflowToLeft=false
Baan 36 C  (520,1006)  (484,1041)  (555,1042)  (498,970)  (534,970)  (556,1006)  (570,956)  (498,1077)  (591,1042)  (509,934)  (592,992)  (545,920)  (462,1100)  (627,1028)  (523,884)  (559,884)  (477,1136)  (663,1015)  (471,1172)  (435,1196)  (473,1208)  (437,1232)  (456,1268)  (420,1268)  (429,1304)  (393,1306)  | overflowToLeft=false
Vliegenbos  (2109,478)  (2148,484)  (2172,507)  (2215,518)  (2235,541)  | overflowToLeft=false
Zuidas  (1510,1012)  (1474,1037)  (1474,1001)  (1510,976)  (1546,976)  (1546,1012)  (1462,965)  (1438,1031)  (1582,956)  (1582,992)  (1582,1028)  (1426,995)  (1406,959)  (1618,962)  (1618,998)  (1618,1034)  (1397,1060)  (1390,1015)  (1654,973)  (1654,1009)  (1654,1045)  (1690,984)  (1690,1020)  | overflowToLeft=false
Holysloter Die  (2964,280)  | overflowToLeft=false
Stokkelaarsbrug  (1935,2036)  (1899,2071)  (1899,2035)  (1970,2072)  (1935,2000)  (1971,2000)  (1971,2036)  (1897,1999)  (1934,2107)  (1898,2107)  (1863,2071)  (1863,2035)  (2006,2072)  (2006,2108)  (1970,2108)  (1862,2108)  (1933,1964)  (1969,1964)  (2005,1964)  (2007,2000)  (2007,2036)  (1861,1999)  (1861,1963)  (1897,1963)  (2041,1930)  (1827,2072)  (1827,2036)  (2042,2072)  (2042,2108)  (1826,2124)  (1933,1928)  (1969,1928)  (2005,1928)  (2043,1966)  (2043,2002)  (1842,1927)  (1878,1927)  (1791,2088)  (2078,2055)  (2078,2091)  (1790,2124)  (1914,1892)  (1950,1892)  (1986,1892)  (2022,1892)  (2079,1938)  (1843,1891)  (1755,2088)  (1754,2124)  (1879,1856)  (1915,1856)  (1951,1856)  (1987,1856)  | overflowToLeft=false
Slotermeer  (1327,454)  (1291,489)  (1291,453)  (1362,490)  (1327,418)  (1363,419)  (1289,417)  (1326,525)  (1255,501)  (1255,465)  (1398,455)  (1398,491)  (1362,526)  (1399,527)  (1253,429)  (1235,393)  (1219,499)  (1434,431)  (1434,467)  (1435,503)  (1435,539)  (1399,563)  (1217,463)  (1447,575)  (1199,427)  (1199,391)  (1470,436)  (1471,472)  (1471,508)  (1181,490)  (1163,454)  (1163,418)  (1499,396)  (1506,432)  (1507,468)  (1507,504)  (1141,382)  (1127,470)  (1127,434)  (1542,400)  (1543,436)  (1543,472)  (1543,508)  (1105,398)  (1579,407)  (1579,530)  (1069,401)  (1615,383)  (1640,419)  (1676,414)  | overflowToLeft=false
Naardermeer  (3383,1867)  (3362,1814)  (3447,1930)  (3342,1778)  (3448,1966)  | overflowToLeft=false
Oosteinde  (870,1520)  (834,1555)  (834,1519)  (905,1556)  (870,1484)  (906,1484)  (906,1520)  (832,1483)  (858,1591)  (822,1591)  (798,1555)  (941,1556)  (941,1592)  (868,1448)  (904,1448)  (940,1448)  (942,1484)  (942,1520)  (786,1603)  (976,1414)  (762,1567)  (977,1556)  (977,1592)  (948,1628)  (872,1412)  (908,1412)  (978,1450)  (978,1486)  (750,1631)  (944,1378)  (980,1378)  (726,1595)  (1013,1522)  (1013,1558)  (714,1643)  (690,1607)  (678,1652)  (654,1616)  (642,1667)  (618,1631)  (606,1677)  (582,1641)  (570,1689)  (546,1653)  (510,1676)  | overflowToLeft=false
Oostzaan Zuidende  (1924,0)  (1781,0)  | overflowToLeft=false
Grachten N  (1784,560)  (1767,589)  (1821,543)  | overflowToLeft=false
